,Ort,Stärke
2959,"18km ENE of Thousand Palms, CA",1.0
2960,"70km SSW of Kaktovik, Alaska",2.0
2961,"13km SW of Toms Place, CA",2.85
2962,"131km SSE of Prudhoe Bay, Alaska",2.2
2963,"60km SSW of Kaktovik, Alaska",2.1
2964,"9km NE of Aguanga, CA",0.28
2965,"41km ESE of Bridgeport, California",0.3
2966,"2km W of Volcano, Hawaii",2.01
2967,"11km NW of Kingsbury, Nevada",0.2
2968,"2km SE of Bamberg, South Carolina",2.11
2969,"8km ENE of Aguanga, CA",0.86
2970,"9km ENE of Aguanga, CA",0.37
2971,"4km NE of Toms Place, CA",1.51
2972,"4km ENE of Toms Place, CA",1.66
2973,"6km ESE of Maricao, Puerto Rico",2.03
2974,"10km NE of Aguanga, CA",0.31
2975,"20km NW of Montpelier, Idaho",1.6
2976,"21km W of Dutch Harbor, Alaska",0.22
2977,"44km WNW of Ester, Alaska",0.9
2978,"11km NW of Parkfield, CA",0.83
2979,"4km N of Julian, CA",0.71
2980,"57km SSW of Kaktovik, Alaska",2.4
2981,"9km NW of The Geysers, CA",0.78
2982,"80km ESE of Whittier, Alaska",1.8
2983,"6km WNW of White River Junction, Vermont",1.8
2984,"93km NNE of San Juan, Puerto Rico",3.13
2985,"105km WSW of Saumlaki, Indonesia",4.9
2986,"55km SW of Cantwell, Alaska",0.9
2987,"64km W of Willow, Alaska",1.3
2988,"131km NW of Arctic Village, Alaska",1.8
2989,"11km N of Julian, CA",0.54
2990,"20km W of Dutch Harbor, Alaska",0.27
2991,"72km S of Cantwell, Alaska",2.1
2992,"7km E of Lazy Mountain, Alaska",1.1
2993,"35km ENE of Big Pine, California",0.2
2994,"10km WNW of The Geysers, CA",0.56
2995,"10km WNW of The Geysers, CA",0.69
2996,"21km W of Dutch Harbor, Alaska",0.67
2997,"10km WNW of The Geysers, CA",0.87
2998,"70km NNW of Cape Yakataga, Alaska",0.2
2999,"27km SSW of Hawthorne, Nevada",0.1
3000,"8km E of Mammoth Lakes, CA",0.61
3001,"70km SSW of Kaktovik, Alaska",1.6
3002,"44km SSW of Redoubt Volcano, Alaska",2.9
3003,"9km NE of Milpitas, CA",1.0
3004,"21km W of Dutch Harbor, Alaska",1.34
3005,"14km SE of Mammoth Lakes, CA",0.81
3006,"7km ENE of Pahala, Hawaii",1.8
3007,"10km NE of Aguanga, CA",0.39
3008,"21km ESE of Anza, CA",0.71
3009,"8km NE of Aguanga, CA",1.18
3010,"40km SSW of Currant, Nevada",0.9
3011,"164km NW of Kobuk, Alaska",1.5
3012,"5km E of Palomar Observatory, CA",0.45
3013,"1km E of Kenai, Alaska",1.6
3014,"9km NE of Aguanga, CA",0.38
3015,"130km NNW of Arctic Village, Alaska",2.2
3016,"14km SE of Lincoln, Montana",0.96
3017,"0km WSW of Three Forks, Montana",0.53
3018,"5km W of Mammoth Lakes, CA",1.01
3019,"51km SSW of Redoubt Volcano, Alaska",2.1
3020,"12km SE of Smith Valley, Nevada",0.1
3021,"85km N of Culebra, Puerto Rico",2.99
3022,"49km ENE of Cape Yakataga, Alaska",1.4
3023,"20km W of Dillon, Montana",0.95
3024,"1km NW of The Geysers, CA",1.52
3025,"5km WSW of Bodfish, CA",1.3
3026,"111km WNW of Tanana, Alaska",2.3
3027,"54km WSW of Adak, Alaska",4.6
3028,"10km S of Malibu Beach, CA",1.38
3029,"49km NE of Beatty, Nevada",0.5
3030,"4km ENE of Kenai, Alaska",1.3
3031,"52km ENE of Cantwell, Alaska",1.7
3032,"33km N of Tierras Nuevas Poniente, Puerto Rico",2.45
3033,"15km SSW of Volcano, Hawaii",1.76
3034,"8km NNE of Milpitas, CA",1.71
3035,"9km N of Borrego Springs, CA",0.69
3036,"18km ENE of Thousand Palms, CA",2.23
3037,"128km NW of Arctic Village, Alaska",1.8
3038,"69km SSW of Kaktovik, Alaska",2.4
3039,"14km E of Seven Trees, CA",1.57
3040,"127km SSE of Prudhoe Bay, Alaska",2.9
3041,"121km NW of Arctic Village, Alaska",1.6
3042,"47km W of Nikolski, Alaska",1.23
3043,"43km ENE of Kanab, Utah",1.75
3044,"53km S of Goldfield, Nevada",0.1
3045,"8km ENE of Aguanga, CA",0.42
3046,"123km NNW of Arctic Village, Alaska",2.0
3047,"4km W of Cobb, CA",0.23
3048,"60km ENE of Cape Yakataga, Alaska",0.9
3049,"10km NE of Aguanga, CA",0.4
3050,"3km SSW of Cobb, CA",1.01
3051,"7km NW of The Geysers, CA",0.88
3052,"16km ESE of Livermore, CA",1.08
3053,"16km ESE of Lincoln, Montana",0.8
3054,"60km NNW of Valdez, Alaska",1.3
3055,"68km N of Isabela, Puerto Rico",3.06
3056,"93km W of Willow, Alaska",1.5
3057,"6km E of Murrieta Hot Springs, CA",0.72
3058,"138km W of Colchani, Bolivia",4.4
3059,"66km ESE of JP Tinian Town pre-WW2, Northern Mariana Islands",4.6
3060,"53km W of Cantwell, Alaska",1.9
3061,"57km SSW of Kaktovik, Alaska",2.2
3062,"7km WNW of The Geysers, CA",0.68
3063,"12km NE of Little Lake, CA",0.2
3064,"22km NE of Fairbanks, Alaska",1.4
3065,"8km S of Idyllwild, CA",1.31
3066,"15km W of Palu, Indonesia",4.8
3067,"39km S of Kaktovik, Alaska",2.0
3068,"119km SSE of Prudhoe Bay, Alaska",1.8
3069,"10km WNW of The Geysers, CA",0.55
3070,"63km SW of Anchor Point, Alaska",1.4
3071,"41km NE of Y, Alaska",1.5
3072,"10km WNW of Cobb, CA",0.89
3073,"10km WNW of The Geysers, CA",0.9
3074,"7km NNW of Waterville, Washington",1.16
3075,"6km N of North Pole, Alaska",0.7
3076,"73km WNW of Arctic Village, Alaska",1.8
3077,"83km WNW of Arctic Village, Alaska",2.8
3078,"19km N of Hatillo, Puerto Rico",2.58
3079,"70km E of Cape Yakataga, Alaska",0.9
3080,"12km NE of Little Lake, CA",0.25
3081,"18km N of Borrego Springs, CA",1.3
3082,"17km W of Akutan, Alaska",0.55
3083,"25km WSW of Dallas, Oregon",1.38
3084,"180km WSW of Puerto Quellon, Chile",4.0
3085,"54km N of Yakutat, Alaska",1.2
3086,"28km N of Amboy, Washington",1.11
3087,"5km SSE of Idyllwild, CA",0.44
3088,"24km W of Anchorage, Alaska",1.1
3089,"26km ENE of Pine Valley, CA",1.14
3090,"56km SSW of Kaktovik, Alaska",1.8
3091,"17km W of Akutan, Alaska",-0.61
3092,"0km SSE of Espino, Puerto Rico",1.27
3093,"116km SSE of Prudhoe Bay, Alaska",1.6
3094,"65km ENE of Cantwell, Alaska",1.1
3095,"48km NW of Cape Yakataga, Alaska",0.6
3096,"4km S of La Playa, Puerto Rico",1.71
3097,"48km ESE of Whittier, Alaska",1.5
3098,"43km NW of Ester, Alaska",0.9
3099,"10km W of Toms Place, CA",0.32
3100,"12km SSW of Princeton, Canada",2.0
3101,"6km NW of The Geysers, CA",0.55
3102,"9km WSW of Toms Place, CA",0.83
3103,"6km S of Idyllwild, CA",0.54
3104,"37km SSW of Gabbs, Nevada",0.7
3105,"6km SE of Chula Vista, CA",1.38
3106,"21km ENE of Willow, Alaska",1.3
3107,"3km ESE of Home Gardens, CA",1.17
3108,"6km ENE of Mammoth Lakes, CA",0.51
3109,"16km SE of Volcano, Hawaii",2.46
3110,"16km SE of Volcano, Hawaii",0.87
3111,"10km NE of Aguanga, CA",0.58
3112,"10km W of Ely, Nevada",1.8
3113,"12km SE of Laytonville, CA",1.66
3114,"10km WNW of The Geysers, CA",0.7
3115,"9km W of Isla Vista, CA",1.82
3116,"94km ESE of Old Iliamna, Alaska",-0.9
3117,"10km ENE of Mount Shasta, CA",1.65
3118,"18km NW of Tehachapi, CA",1.4
3119,"14km NW of Salina, Utah",1.39
3120,"7km SE of Tehachapi, CA",1.1
3121,"49km SSW of Kaktovik, Alaska",1.8
3122,"81km NW of Arctic Village, Alaska",1.6
3123,"5km W of Cobb, CA",1.1
3124,"5km SW of Volcano, Hawaii",1.9
3125,"119km NW of Arctic Village, Alaska",1.5
3126,"60km NW of Healy, Alaska",0.9
3127,"101km WNW of Arctic Village, Alaska",1.3
3128,"5km NNE of Banning, CA",0.87
3129,"109km NW of Arctic Village, Alaska",1.3
3130,"7km S of Mojave, CA",1.29
3131,"71km SW of Kaktovik, Alaska",2.0
3132,"22km NNW of Borrego Springs, CA",0.12
3133,"5km E of Butte, Montana",1.92
3134,"100km ESE of King Salmon, Alaska",-0.25
3135,"97km WNW of Arctic Village, Alaska",1.4
3136,"99km ESE of King Salmon, Alaska",-0.48
3137,"100km ESE of King Salmon, Alaska",-0.52
3138,"63km N of Pahrump, Nevada",-0.2
3139,"131km NW of Arctic Village, Alaska",1.9
3140,"7km SSE of Big Bear City, CA",1.53
3141,"63km W of Anchor Point, Alaska",1.4
3142,"3km E of Aromas, CA",0.97
3143,"13km NE of Little Lake, CA",0.74
3144,"5km SW of Volcano, Hawaii",1.77
3145,"89km N of San Juan, Puerto Rico",2.81
3146,"115km W of Talkeetna, Alaska",1.2
3147,"101km W of Cantwell, Alaska",1.6
3148,"4km ESE of Pahala, Hawaii",1.83
3149,"9km NW of The Geysers, CA",0.56
3150,"17km ESE of Livermore, CA",1.07
3151,"48km ENE of Eielson Air Force Base, Alaska",0.9
3152,"17km NNW of Garrochales, Puerto Rico",2.24
3153,"34km S of Valdez, Alaska",1.8
3154,"66km E of Nemuro, Japan",4.4
3155,"2km ENE of Colton, CA",0.68
3156,"93km SE of King Salmon, Alaska",-0.48
3157,"2km E of Big Lake, Alaska",1.1
3158,"24km W of Sunnyside-Tahoe City, California",0.4
3159,"9km NW of The Geysers, CA",0.44
3160,"26km SW of Gustine, CA",1.2
3161,"21km ENE of Willow, Alaska",1.0
3162,"56km WNW of Anchor Point, Alaska",1.5
3163,"11km NE of Hollister, CA",1.07
3164,"9km NW of The Geysers, CA",0.56
3165,"22km N of Pahala, Hawaii",1.72
3166,"37km SSE of Morton, Washington",0.39
3167,"68km SW of Kaktovik, Alaska",1.5
3168,South of the Fiji Islands,4.8
3169,"24km WNW of Montpelier, Idaho",0.95
3170,"3km NNE of Pinnacles, CA",1.84
3171,"18km ENE of Honaunau-Napoopoo, Hawaii",1.73
3172,"52km SSW of Tok, Alaska",1.1
3173,"30km WNW of West Yellowstone, Montana",-0.17
3174,"102km ENE of Kotzebue, Alaska",1.6
3175,"4km WSW of Three Forks, Montana",1.72
3176,"13km W of Volcano, Hawaii",1.34
3177,"8km ENE of Aguanga, CA",0.31
3178,"31km WNW of North Nenana, Alaska",0.9
3179,"94km ESE of Old Iliamna, Alaska",-0.13
3180,"4km NE of Mammoth Lakes, CA",0.32
3181,"11km S of Olancha, CA",0.68
3182,"10km NE of Ocotillo Wells, CA",1.2
3183,"47km W of Big Lake, Alaska",0.9
3184,"15km ESE of Soda Springs, Idaho",2.25
3185,"48km SE of Pahala, Hawaii",1.65
3186,"60km SSW of Kaktovik, Alaska",1.9
3187,"11km W of Manton, CA",1.69
3188,"57km N of Isabela, Puerto Rico",2.63
3189,"63km ENE of Cape Yakataga, Alaska",1.4
3190,"55km SW of Kaktovik, Alaska",1.8
3191,"2km SE of Loma Linda, CA",0.98
3192,"17km N of Manhattan, Montana",0.89
3193,"22km NW of Montpelier, Idaho",1.81
3194,"45km SSW of Kaktovik, Alaska",2.1
3195,"9km E of Mammoth Lakes, CA",0.39
3196,"24km W of Unalaska, Alaska",1.12
3197,"5km SW of Londonderry, New Hampshire",1.9
3198,"49km SSW of Kaktovik, Alaska",1.9
3199,"82km ENE of Cantwell, Alaska",1.5
3200,"30km N of Spanish Springs, Nevada",0.5
3201,"13km NE of Little Lake, CA",0.77
3202,"21km NW of Montpelier, Idaho",3.21
3203,"22km WNW of Montpelier, Idaho",1.47
3204,"50km SW of Nikolski, Alaska",1.65
3205,"50km NNE of Yakutat, Alaska",1.3
3206,"13km NE of Mount Shasta, CA",0.35
3207,"62km SSE of Bilungala, Indonesia",4.1
3208,"13km NE of Healy, Alaska",1.3
3209,"15km NE of Enid, Oklahoma",2.6
3210,"23km WNW of Montpelier, Idaho",2.32
3211,"107km NW of Talkeetna, Alaska",1.2
3212,"3km SW of Volcano, Hawaii",1.64
3213,"10km NNE of Lewiston, CA",1.62
3214,"Galapagos Islands, Ecuador region",5.7
3215,"117km NNW of Arctic Village, Alaska",1.6
3216,"6km WNW of Cobb, CA",0.56
3217,"3km NE of Vincent, CA",1.91
3218,"10km NE of Aguanga, CA",0.43
3219,"8km ENE of Aguanga, CA",0.51
3220,"17km SW of Toms Place, CA",1.05
3221,"11km NW of Shelton, Washington",1.07
3222,"18km SE of Volcano, Hawaii",3.69
3223,"96km ENE of Circle, Alaska",1.6
3224,"14km SE of Volcano, Hawaii",2.74
3225,"21km NW of Montpelier, Idaho",1.86
3226,"22km NW of Montpelier, Idaho",1.92
3227,"23km WNW of Montpelier, Idaho",1.76
3228,"72km E of Beatty, Nevada",0.3
3229,"82km NNW of Talkeetna, Alaska",1.7
3230,"46km W of Tanaga Volcano, Alaska",0.45
3231,"7km WNW of Anchor Point, Alaska",0.9
3232,"78km SW of Kaktovik, Alaska",2.2
3233,"92km NNW of Talkeetna, Alaska",1.2
3234,"72km SSW of Kaktovik, Alaska",1.8
3235,"4km NE of Mammoth Lakes, CA",0.24
3236,"90km NW of Arctic Village, Alaska",1.4
3237,"59km NNE of Pahrump, Nevada",0.3
3238,"49km NNW of San Antonio, Puerto Rico",2.11
3239,"17km WNW of Petrolia, CA",2.1
3240,"60km NNE of Pahrump, Nevada",0.9
3241,"21km NW of Montpelier, Idaho",1.57
3242,"75km SW of Kaktovik, Alaska",3.0
3243,"53km ESE of Lazy Mountain, Alaska",2.4
3244,"39km NNW of Carlin, Nevada",1.0
3245,"8km NE of Aguanga, CA",0.27
3246,"19km WNW of Montpelier, Idaho",1.61
3247,"8km ENE of Aguanga, CA",0.93
3248,"21km NW of Montpelier, Idaho",2.25
3249,"24km WSW of Hawthorne, Nevada",0.7
3250,"5km E of Mammoth Lakes, CA",0.73
3251,"21km NW of Montpelier, Idaho",1.38
3252,"7km NNE of Talkeetna, Alaska",1.1
3253,"86km SSW of Masachapa, Nicaragua",4.3
3254,"62km NW of Ester, Alaska",1.0
3255,"22km E of Mount Hood Village, Oregon",0.15
3256,"76km NW of Nikiski, Alaska",0.24
3257,"39km N of Toms Place, CA",2.29
3258,"21km NW of Montpelier, Idaho",1.8
3259,"42km SSW of Cantwell, Alaska",2.4
3260,"2km ESE of Sabana Grande, Puerto Rico",1.76
3261,"21km NW of Montpelier, Idaho",2.49
3262,"21km S of Soda Springs, Idaho",1.83
3263,"58km SSW of Kaktovik, Alaska",1.8
3264,"114km SSE of Prudhoe Bay, Alaska",1.5
3265,"7km NW of The Geysers, CA",0.66
3266,"23km SSE of Soda Springs, Idaho",1.06
3267,"10km NW of Parkfield, CA",0.51
3268,"9km NE of Aguanga, CA",0.18
3269,"22km SSE of Soda Springs, Idaho",2.6
3270,"23km SSE of Soda Springs, Idaho",2.03
3271,"61km SSW of Kaktovik, Alaska",1.9
3272,"29km ENE of Coso Junction, CA",1.03
3273,"15km SE of Gardnerville Ranchos, Nevada",0.4
3274,"6km ENE of Mammoth Lakes, CA",0.15
3275,"3km SSE of Rainier, Washington",1.12
3276,"56km E of Mulchen, Chile",4.3
3277,"45km SE of Hawthorne, Nevada",-0.1
3278,"48km S of Goldfield, Nevada",0.0
3279,"44km W of Anchor Point, Alaska",1.1
3280,"8km ENE of Imperial, CA",1.12
3281,"13km SSE of Anza, CA",0.68
3282,"88km SW of Larsen Bay, Alaska",1.8
3283,"18km WNW of Montpelier, Idaho",1.88
3284,"124km NNW of Arctic Village, Alaska",1.3
3285,"48km N of Yakutat, Alaska",1.3
3286,"34km WNW of Talkeetna, Alaska",1.6
3287,"70km SSW of Kaktovik, Alaska",2.0
3288,"9km WSW of Lilbourn, Missouri",1.87
3289,"87km N of Yakutat, Alaska",0.7
3290,"52km ENE of Cantwell, Alaska",1.3
3291,"85km ENE of Sutton-Alpine, Alaska",0.6
3292,"100km NNW of Yakutat, Alaska",1.1
3293,"25km E of Honaunau-Napoopoo, Hawaii",2.49
3294,"95km NNW of Yakutat, Alaska",1.4
3295,"117km SSE of Prudhoe Bay, Alaska",2.0
3296,"299km N of Ndoi Island, Fiji",4.2
3297,"34km SW of New Allakaket, Alaska",1.2
3298,"49km SSW of Beatty, Nevada",-0.1
3299,"103km NW of Larsen Bay, Alaska",0.39
3300,"11km W of Kalifornsky, Alaska",2.0
3301,"16km NE of Three Forks, Montana",0.86
3302,"31km N of Valdez, Alaska",1.1
3303,"10km N of Anza, CA",0.65
3304,"9km N of Anza, CA",0.31
3305,"13km SSE of Mogul, Nevada",0.1
3306,"116km SSE of Prudhoe Bay, Alaska",2.1
3307,"22km NW of Montpelier, Idaho",1.4
3308,"16km S of Anchor Point, Alaska",1.3
3309,"9km NE of Aguanga, CA",0.42
3310,"15km SSW of Ocotillo Wells, CA",0.96
3311,"9km NE of Aguanga, CA",0.8
3312,"9km NE of Aguanga, CA",0.26
3313,"67km ESE of Cape Yakataga, Alaska",1.5
3314,"55km SSW of Kaktovik, Alaska",1.9
3315,"22km NW of Montpelier, Idaho",1.89
3316,"11km NNW of Meadow Lakes, Alaska",2.4
3317,"15km ENE of Harper, Kansas",2.3
3318,"2km SSE of Huntington Beach, CA",1.29
3319,"17km SE of Mammoth Lakes, CA",0.49
3320,Central East Pacific Rise,4.5
3321,"29km SE of Valdez, Alaska",1.1
3322,"9km NW of Mountain View, Wyoming",2.09
3323,"9km NNE of Cabazon, CA",0.68
3324,"31km NW of Hawthorne, Nevada",0.5
3325,"10km N of Cabazon, CA",0.86
3326,"68km SSW of Kaktovik, Alaska",3.6
3327,"38km NNW of Elko, Nevada",1.5
3328,"39km SSE of Goldfield, Nevada",0.1
3329,"50km E of Beatty, Nevada",-0.3
3330,"143km W of Cantwell, Alaska",1.7
3331,"14km NW of Anchorage, Alaska",1.1
3332,"3km W of San Francisco Zoo, CA",1.05
3333,"70km E of Beatty, Nevada",0.3
3334,"8km ENE of Gilroy, CA",1.66
3335,"30km NNE of Otra Banda, Dominican Republic",2.63
3336,"12km WSW of Morongo Valley, CA",0.96
3337,"8km W of Home, Washington",0.96
3338,"33km SSW of Hawthorne, Nevada",0.6
3339,"175km SSE of Lambasa, Fiji",5.7
3340,"172km E of Suva, Fiji",5.9
3341,"25km E of Honaunau-Napoopoo, Hawaii",2.12
3342,"47km SW of Nikolski, Alaska",1.91
3343,"34km WNW of Severo-Kuril'sk, Russia",4.3
3344,"14km S of Y, Alaska",3.5
3345,"68km S of San Mateo del Mar, Mexico",4.3
3346,"120km NW of Talkeetna, Alaska",1.2
3347,"11km NW of Kingsbury, Nevada",0.7
3348,"25km E of Honaunau-Napoopoo, Hawaii",2.97
3349,"97km ENE of Circle, Alaska",1.7
3350,"22km W of Unalaska, Alaska",-0.15
3351,"21km W of Unalaska, Alaska",0.28
3352,"3km NE of San German, Puerto Rico",1.92
3353,"15km SE of Gardnerville Ranchos, Nevada",0.6
3354,"9km W of Tehachapi, CA",1.6
3355,"40km NE of Fallon, Nevada",1.4
3356,"34km WSW of Dutch Harbor, Alaska",0.56
3357,"68km SSW of Kaktovik, Alaska",3.0
3358,"89km NW of Talkeetna, Alaska",1.2
3359,"43km ESE of Hawthorne, Nevada",0.4
3360,"4km N of Santa Rosa, CA",2.29
3361,"81km NNE of Luquillo, Puerto Rico",2.64
3362,"42km SE of Mountain, Colombia",4.6
3363,"179km ESE of Tadine, New Caledonia",4.6
3364,"60km S of Goldfield, Nevada",-0.1
3365,"13km ESE of Lincoln, Montana",1.24
3366,"27km SSW of Mammoth Lakes, CA",1.01
3367,"12km WNW of Gongjing, China",4.4
3368,"18km NW of Parkfield, CA",0.44
3369,"72km E of Beatty, Nevada",-0.3
3370,"16km WSW of Rincon, Puerto Rico",2.87
3371,"38km W of Willow, Alaska",1.3
3372,"12km SE of Bombay Beach, CA",0.6
3373,"8km WNW of The Geysers, CA",0.68
3374,"72km E of Beatty, Nevada",0.1
3375,"105km W of Haines Junction, Canada",0.8
3376,"94km SE of King Salmon, Alaska",-0.44
3377,"6km ESE of Wofford Heights, CA",1.48
3378,"36km NNE of Amboy, Washington",0.05
3379,"27km N of North Nenana, Alaska",0.7
3380,"11km ENE of Ocotillo Wells, CA",1.73
3381,"71km E of Beatty, Nevada",2.1
3382,"48km ESE of Beatty, Nevada",-0.4
3383,"13km ESE of Anza, CA",1.0
3384,"37km NNE of Amboy, Washington",0.39
3385,"78km E of Lakatoro, Vanuatu",4.9
3386,"24km E of San Ardo, CA",0.74
3387,"7km NNE of Santa Clarita, CA",1.01
3388,"6km W of Kalaoa, Hawaii",2.13
3389,"2km NW of Lennox, CA",1.84
3390,"18km W of Healy, Alaska",1.9
3391,"38km NNE of Amboy, Washington",0.41
3392,"6km ESE of Huntington, Utah",1.04
3393,"184km ESE of Tadine, New Caledonia",4.4
3394,"3km ENE of Mammoth Lakes, CA",0.18
3395,"72km SW of Kaktovik, Alaska",2.1
3396,"2km NE of Beaumont, CA",1.05
3397,"22km NE of Fairbanks, Alaska",1.5
3398,"14km SE of Volcano, Hawaii",1.87
3399,"10km SSW of Willow, Alaska",1.4
3400,"10km W of Toms Place, CA",0.76
3401,"88km WSW of Anchor Point, Alaska",1.5
3402,"11km N of Gerlach-Empire, Nevada",1.5
3403,"20km WSW of Port Ludlow, Washington",1.16
3404,"2km NW of Lennox, CA",1.75
3405,"167km E of Nago, Japan",4.6
3406,"30km E of Hawthorne, Nevada",0.3
3407,"139km WNW of Haines Junction, Canada",0.9
3408,"33km ESE of Chitose, Japan",4.2
3409,"68km SSW of Kaktovik, Alaska",2.3
3410,"4km WSW of Mammoth Lakes, CA",0.32
3411,"67km NNW of Valdez, Alaska",2.3
3412,"52km E of Cape Yakataga, Alaska",0.8
3413,"8km NNE of Cabazon, CA",1.05
3414,"8km WNW of Morongo Valley, CA",1.01
3415,"105km SSW of Pijijiapan, Mexico",4.5
3416,"97km ENE of Circle, Alaska",1.4
3417,"6km NNW of Pinnacles, CA",2.21
3418,"4km W of Cobb, CA",0.78
3419,"34km SW of Healy, Alaska",2.3
3420,"4km W of Cobb, CA",0.82
3421,"84km WSW of Cantwell, Alaska",2.2
3422,"76km ENE of Cape Yakataga, Alaska",1.1
3423,"4km NNE of El Segundo, CA",1.34
3424,"10km NE of Aguanga, CA",0.21
3425,"10km NE of Aguanga, CA",0.58
3426,"43km WNW of Talkeetna, Alaska",0.9
3427,"12km ENE of Mammoth Lakes, CA",0.63
3428,"17km NNE of San Simeon, CA",2.27
3429,"21km ENE of Castle Rock, Washington",1.94
3430,"8km NE of Pahala, Hawaii",1.72
3431,"33km W of Seward, Alaska",1.3
3432,"74km E of Gabbs, Nevada",1.7
3433,"6km SE of Mammoth Lakes, CA",0.21
3434,"6km ESE of Chula Vista, CA",1.48
3435,"5km NW of Darrington, Washington",1.07
3436,"132km ENE of Petropavlovsk-Kamchatskiy, Russia",4.1
3437,"54km S of Redoubt Volcano, Alaska",1.9
3438,"4km WNW of Bainbridge Island, Washington",1.11
3439,"78km SSW of Kobuk, Alaska",1.1
3440,"5km SE of Mammoth Lakes, CA",0.53
3441,"8km NE of Aguanga, CA",0.88
3442,"63km WSW of Anchor Point, Alaska",2.2
3443,"127km WNW of Arctic Village, Alaska",1.9
3444,"89km WNW of Cantwell, Alaska",1.7
3445,"6km WNW of The Geysers, CA",0.88
3446,"5km ESE of San Juan, Puerto Rico",2.73
3447,"17km NNE of Nikiski, Alaska",1.3
3448,"13km WSW of Niland, CA",1.36
3449,"57km WSW of Valdez, Alaska",1.6
3450,"42km ESE of Old Iliamna, Alaska",2.3
3451,"1km NE of Loma Linda, CA",0.89
3452,"8km NNE of Murrieta Hot Springs, CA",0.37
3453,"33km W of Cantwell, Alaska",3.7
3454,"8km NE of Aguanga, CA",0.59
3455,"30km SW of Hawthorne, Nevada",1.4
3456,"3km S of Loyola, CA",1.14
3457,"9km NE of Aguanga, CA",0.75
3458,"134km WNW of Arctic Village, Alaska",1.6
3459,"135km WNW of Arctic Village, Alaska",1.4
3460,"93km ESE of Old Iliamna, Alaska",0.66
3461,"16km WSW of Dutch Harbor, Alaska",0.56
3462,"123km NNE of Cape Yakataga, Alaska",0.7
3463,"88km N of Yakutat, Alaska",1.5
3464,"3km ENE of Ridgely, Tennessee",1.23
3465,"48km NNE of Yakutat, Alaska",1.4
3466,"9km ENE of Aguanga, CA",0.39
3467,"29km WSW of Hawthorne, Nevada",0.6
3468,"16km WSW of Dutch Harbor, Alaska",2.35
3469,"54km NNW of Valdez, Alaska",1.2
3470,"10km S of Winlock, Washington",1.19
3471,"5km W of Cobb, CA",0.17
3472,"11km W of Anza, CA",0.48
3473,"30km SE of Redoubt Volcano, Alaska",2.6
3474,"46km ENE of Cordova, Alaska",1.3
3475,"14km ESE of Lincoln, Montana",1.71
3476,"7km ENE of Lima, Montana",1.42
3477,"89km SSE of Kupang, Indonesia",4.5
3478,"9km NW of The Geysers, CA",0.81
3479,"84km NNE of Luquillo, Puerto Rico",2.83
3480,"48km ENE of Driggs, Idaho",1.01
3481,"72km WSW of Tual, Indonesia",4.2
3482,"7km WNW of Townsend, Montana",1.33
3483,"6km WSW of San Ardo, CA",0.84
3484,"53km SSW of Redoubt Volcano, Alaska",-0.12
3485,"6km WSW of San Ardo, CA",1.85
3486,"6km SW of Volcano, Hawaii",1.81
3487,"12km SW of Volcano, Hawaii",1.93
3488,"39km W of Kalifornsky, Alaska",1.8
3489,"50km SSW of Kaktovik, Alaska",2.0
3490,"12km S of Morton, Washington",0.38
3491,"272km N of Ndoi Island, Fiji",4.3
3492,"46km NE of Talkeetna, Alaska",1.6
3493,"69km W of Valdez, Alaska",1.3
3494,"16km WSW of Dutch Harbor, Alaska",0.77
3495,"18km W of Unalaska, Alaska",-0.62
3496,"151km ENE of McGrath, Alaska",1.3
3497,"39km NNE of Amboy, Washington",0.3
3498,"183km SSW of Panguna, Papua New Guinea",4.7
3499,"25km SSE of Hawthorne, Nevada",-0.1
3500,"53km ENE of Y, Alaska",1.4
3501,"88km ENE of Miches, Dominican Republic",3.12
3502,"171km E of Nago, Japan",4.6
3503,"47km NNW of Road Town, British Virgin Islands",3.36
3504,"129km NNW of Arctic Village, Alaska",1.9
3505,"2km S of Long Beach, CA",1.38
3506,"0km NW of Playita Cortada, Puerto Rico",1.97
3507,"16km NW of Fillmore, CA",1.52
3508,"22km E of Coso Junction, CA",1.05
3509,"33km NNE of Anchor Point, Alaska",1.6
3510,"6km WNW of Cobb, CA",0.9
3511,"120km NNW of Arctic Village, Alaska",1.7
3512,"5km WNW of The Geysers, CA",1.15
3513,"8km NE of Aguanga, CA",0.35
3514,"121km NNW of Arctic Village, Alaska",1.8
3515,Southern Mid-Atlantic Ridge,5.1
3516,"94km N of Punta Cana, Dominican Republic",3.24
3517,"130km NNW of Arctic Village, Alaska",3.0
3518,"10km NNW of Meadow Lakes, Alaska",1.0
3519,"5km WSW of Volcano, Hawaii",2.02
3520,"104km W of Cantwell, Alaska",1.1
3521,"10km SW of Redoubt Volcano, Alaska",1.3
3522,"19km WNW of Puerto Real, Puerto Rico",1.85
3523,South of the Kermadec Islands,4.7
3524,"53km ENE of Ensenada, B.C., MX",2.28
3525,"21km W of Dutch Harbor, Alaska",0.43
3526,"123km NNW of Arctic Village, Alaska",1.6
3527,"4km W of Volcano, Hawaii",1.74
3528,"80km ENE of Cantwell, Alaska",1.1
3529,"7km N of Big Bear City, CA",1.67
3530,"90km NW of Talkeetna, Alaska",1.4
3531,"123km SSE of Prudhoe Bay, Alaska",1.5
3532,"122km NNW of Arctic Village, Alaska",1.7
3533,"4km SW of Redoubt Volcano, Alaska",0.25
